AreaOfInterest,Member,NetworkConnections,Member_Teams,Network_Connections_Teams
30 Under 30 Recognition,Dominika Stobiecka,Dominika Stobiecka,Toku (WorkDAO),Toku (WorkDAO)
Acknowledgment of Efforts,Silvia Bessa,Carl Cervone,Open Impact Foundation (Arcological),Kariba Labs
CUDOS and NVIDIA Partnership,Nuno Pereira,"Pete Hill, Matt Hawkins",Cudo Ventures,Cudo Ventures
Cryptocurrency,"Wes Finley, James Key, Jun Zhang, Ken Hodler, Ryo Mochido, Prashant Maurya",Catrina Wang,,--
Decentralised Justice,Sneha Vijayan,Sarah Thiam,Resolutio,Starfleet
Decentralised Storage for Evidence Management,Sneha Vijayan,Nandit Mehra,Resolutio,Lighthouse
FHE (Fully Homomorphic Encryption),Jérémy Zaccherini,Rand Hindi,Zama,Zama
Federated compute,Enrico Rotundo,Simon Worthington,Winder.AI,Bacalhau
Filecoin,"Julien Noël, Kiran Karra, Jennifer Wang, Ulyana Bichan, Jason Cihelka","Colin Evran, Patrick Woodhead",,"Outercore, Space Meridian"
Filecoin Ecosystem,Yuliia Deriuhina,Nandit Mehra,Filecoin Foundation,Lighthouse
HelixML and AI Technologies,Luke Mardsen,David Aronchick,CoopHive,Lilypad Network
Materials Development,David Lang,Ben Reinhardt,Experiment,Speculative Technologies
Networking,"Brendan OBrien, Ken OFriel",Liam Zebedee,,DappNet
Podcasts,"Eshan Chordia, Nestor Amesty",Wes Floyd,,--
Polkadot Universal App,Juan Leni,Juan Leni,Zondax,Zondax
Public Goods,Kevin Owocki,Carl Cervone,Gitcoin,Kariba Labs
Web3 Community,Yuliia Deriuhina,Nandit Mehra,Filecoin Foundation,Lighthouse
Web3 Grants and Funding,Kevin Owocki,Carl Cervone,Gitcoin,Kariba Labs
crypto and blockchain,Gabriel Anderson,Colin Evran,Graph Paper Capital,Outercore
language models and grammar,Isabella Lai,Joscha Bach,--,Liquid AI
role of compute providers within the Fluence network,Kevin Huynh,Tom Trowbridge,PiKNiK Cloud,Fluence Labs
startup growth,Utsav Singla,Srijan Jain,DexyAI (Respct),DexyAI (Respct)
